名字,日期,总场次,废场,人次,上座率,票价
盗墓笔记,20160805,32609,1931,187.31万,33.2%,44.2
流浪地球,20190206,23657,50491,155.59万,47.41%,53.1
神奇女侠,20170604,46490,17113,219.54万,51.11%,37.6
变形金刚5：最后的骑士,20170701,45604,19820,216.31万,50.92%,37.9
速度与激情7,20150414,28312,2178,176.07万,38.31%,46.2
疯狂的外星人  2D,20190207,29374,68244,170.94万,39.78%,47.5
西虹市首富,20180728,38604,50899,223.36万,42.63%,36.3
神奇女侠,20170605,48993,10358,223.87万,50.6%,36.1
流浪地球,20190217,45593,82314,172.68万,23.37%,46.7
神偷奶爸3,20170715,43372,5494,223.53万,70.12%,35.4
蚁人,20151017,26239,1827,164.21万,34.58%,48.2
恶棍天使,20151226,26076,2042,208.28万,49.56%,38
神偷奶爸3,20170716,44281,5090,224.75万,68.91%,35.1
新木乃伊,20170612,56495,21509,223.52万,42.29%,35.3
异形：契约,20170617,54609,23162,241.86万,47.81%,32.6
银河护卫队2,20170510,47485,12277,214.48万,44.39%,36.5
侏罗纪世界2,20180615,52366,79601,210.37万,25.92%,37.2
后来的我们,20180430,49260,74098,221.83万,31.14%,35.1
侏罗纪世界2,20180618,52723,82958,208.89万,26.43%,37
碟中谍5：神秘国度,20150912,32506,2510,178.03万,32.79%,43.3
绣春刀：修罗战场,20170719,55792,8333,251.96万,57.84%,30.6
变形金刚5：最后的骑士,20170629,56166,29492,212.03万,42.7%,36.2
侏罗纪世界2,20180616,46947,90613,200.74万,28.18%,38.3
毒液：致命守护者,20181110,46919,93345,198.43万,27.61%,38.7
海王,20181208,46589,82160,190.45万,27.5%,40.3
神奇女侠,20170606,47816,10649,212.43万,48.32%,36
红海行动,20180224,29340,38379,185.81万,41.9%,41.1
红海行动,20180225,29472,32818,184.79万,41.81%,41.2
X战警：天启,20160604,34275,2641,162.22万,28.11%,46.9
盗墓笔记,20160806,33531,2242,167.45万,29.28%,45.3
碟中谍6：全面瓦解,20180901,44438,55955,187.24万,27.55%,40.4
红海行动,20180221,25035,35552,178.4万,50.77%,42.3
港囧,20151001,22868,1874,182.53万,49.19%,41.3
战狼2,20170810,56736,58787,206.77万,25.2%,36.4
速度与激情7,20150417,24356,2527,157.52万,38.43%,47.8
西虹市首富,20180730,47852,45061,211.04万,31.99%,35.5
功夫熊猫3,20160130,40071,3607,158.14万,22.37%,47.3
我不是药神,20180709,56083,87346,208.12万,25.87%,36
我和我的祖国,20191003,34976,96865,181.07万,35.76%,41.2
大闹天竺,20170129,25352,3901,201.96万,68.56%,36.9
疯狂动物城,20160319,23466,1120,166.08万,47.17%,44.6
变形金刚5：最后的骑士,20170702,45010,19019,199.71万,48.36%,37
蜘蛛侠：英雄远征,20190629,58233,93241,189.36万,22.29%,38.9
流浪地球,20190215,43424,83204,158.05万,22.56%,46.5
小黄人大眼萌,20150913,27891,1618,159.87万,36.38%,46
唐人街探案2,20180222,30864,44001,183.23万,41.98%,40
海王,20181209,50092,78710,182.34万,24.29%,40.2
蜘蛛侠：英雄归来,20170908,49604,47118,201.61万,25.63%,36.3
战狼2,20170812,35166,43541,193.39万,35.76%,37.8
地球最后的夜晚,20181231,29708,78205,179.91万,44.38%,40.6
生化危机6：终章,20170224,38653,30598,197.35万,38.73%,37
捉妖记,20150716,23008,1247,161.67万,40.25%,45.2
煎饼侠,20150718,19698,746,185.69万,63.6%,39.2
哪吒之魔童降世,20190728,45275,85936,185.81万,27.33%,39.1
变形金刚5：最后的骑士,20170630,48649,23485,196.71万,44.72%,36.9
复仇者联盟4：终局之战,20190429,66034,93217,145.99万,16.18%,49.5
红海行动,20180222,26642,37572,173.67万,45.33%,41.6
悟空传,20170719,44148,7793,199.33万,52.83%,36.2
少年的你,20191026,47409,105736,185.46万,26.25%,38.8
夏洛特烦恼,20151007,21176,657,183.2万,53.44%,39.3
