名字,日期,总场次,废场,人次,上座率,票价
我不是药神,20180713,34192,53450,132.46万,29.33%,35.7
荒野猎人,20160318,23488,1678,120.55万,29.9%,39.1
速度与激情8,20170418,56971,58640,120.28万,21.89%,39.1
巨齿鲨,20180810,24480,26351,115.99万,39.19%,40.5
寻龙诀,20151224,15433,2275,93.54万,36%,50.3
美人鱼,20160222,25595,1223,105.86万,22.68%,44.4
摩天营救,20180721,33285,58876,125.41万,24.34%,37.4
西虹市首富,20180803,36166,42323,130.15万,23.56%,36
摩天营救,20180722,34423,58276,125.64万,23.16%,37.3
雷神3：诸神黄昏,20171103,33752,46904,130.06万,23.53%,36
毒液：致命守护者,20181117,33379,58629,124.89万,27.03%,37.4
港囧,20151004,20804,2319,114.47万,33.13%,40.8
加勒比海盗5：死无对证,20170603,28896,12220,128.18万,57.48%,36.4
绝地逃亡,20160722,26175,4795,106.07万,22.72%,43.9
异形：契约,20170621,39607,22626,149.87万,39.83%,31
比悲伤更悲伤的故事,20190317,35332,67985,140.04万,31.16%,33.2
狂暴巨兽,20180413,33732,50046,130.46万,24.09%,35.5
速度与激情8,20170423,47731,44450,115.34万,23.57%,40.1
天将雄师,20150219,9597,488,90.72万,52.3%,50.9
羞羞的铁拳,20171002,26627,46356,130.91万,32.26%,35.2
老炮儿,20151231,14318,726,115.34万,52.61%,39.9
寻龙诀,20160101,10173,0,91.94万,57.28%,49.9
异形：契约,20170620,40933,23598,147.14万,37.63%,31.2
复仇者联盟2：奥创纪元,20150523,22609,1611,91.96万,23.38%,49.7
唐人街探案,20160103,18686,946,116.03万,39.35%,39.3
加勒比海盗5：死无对证,20170605,32486,7376,131.65万,53.67%,34.5
大黄蜂英文版,20190105,39872,115457,115.48万,18.06%,39.2
红海行动,20180302,20760,34301,113.22万,33.27%,40
黑豹,20180311,31908,42658,121.33万,23.69%,37.3
鬼吹灯之九层妖塔,20151003,18894,2376,99.31万,32.57%,45.6
小时代4：灵魂尽头,20150710,20234,1806,117.54万,35.66%,38.5
红海行动,20180304,26250,34860,114.6万,26.8%,39.5
独立日：卷土重来,20160625,19945,3644,94.72万,29.51%,47.7
京城81号2,20170710,32279,7189,125.54万,57.43%,36
摔跤吧！爸爸,20170517,40207,14103,146.53万,41.79%,30.8
超凡战队,20170512,26546,11507,128.97万,53.95%,35
飞驰人生,20190209,23256,48019,97.92万,37.42%,46
摔跤吧！爸爸,20170512,23670,5110,138.9万,72.2%,32.4
惊天魔盗团2,20160625,24198,3198,100.68万,25.54%,44.7
李茶的姑妈,20180930,34893,50951,122.28万,23.02%,36.6
正义联盟,20171119,33599,52663,122.36万,23.3%,36.6
